Youtube	76.92 	100.00	86.96
Http-Progressive	85.71 	88.89 	87.27
HLS	100.00	100.00	100.00
RTMP	100.00	80.00 	88.89
RTP 	100.00	89.58 	94.51
RTCP	100.00	95.83 	97.87
RTSP	100.00	100.00	100.00
