#	Youtube	HTTP-Progressive	HLS	RTMP	RTP 	RTCP	RTSP	HTTP 	HTTPS
0.01	100.00	100.00	12.50	100.00	43.75	14.58	0.00	100.00	100.00
0.025	6.67	21.43	0.00	100.0	16.67	4.17	0.00	71.05	98.53
0.05	0.00	10.71	0.00	20.00	10.42	4.17	0.00	55.26	83.82
0.075	0.00	10.71	0.00	12.50	6.25	0.00	0.00	39.47	67.65
0.1		0.00	10.71	0.00	12.50	0.00	0.00	0.00	28.95	55.88

